pos,bib,name,team,category,rank,nationality,time,timediff,La Charme,Saint-Gervais,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Fouly,Champex Lac,Bovine,Trient,Catogne,Vallorcine,Argentière,Chamonix - Arrivée,la charme_pos,saint-gervais_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la fouly_pos,champex lac_pos,bovine_pos,trient_pos,catogne_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
1941,1850,SCHNEIDER Liliane, ,V2 F,1943, , , ,4189,6358,10328,13866,,20639,,27094,32926,34325,,,,,,,,,,,,,1899,1348,879,2048,-1,1940,-1,1981,1903,1230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1942,2660,AUROY Marc, ,V2 H,1944, , , ,3760,5956,9832,12896,,19458,,26761,32407,34358,,,,,,,,,,,,,1898,1082,878,2049,-1,1316,-1,1265,1911,1947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1943,3676,JORIOZ Renato, ,V1 H,1944, , , ,3260,5309,9795,13291,,20356,26820,27159,31740,34358,,,,,,,,,,,,,1897,1304,1081,1949,-1,1263,1376,1918,1900,1744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1944,2458,THIBAULT Alain, ,V2 H,1946, , , ,3767,5840,9825,12820,,18749,26246,26726,32405,34359,,,,,,,,,,,,,1895,1629,1851,2116,-1,1953,1063,1924,1893,1948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1945,3675,SAVOYE Nicoletta, ,SE F,1947, , , ,3262,5310,9793,13288,,20366,28012,27137,31743,34361,,,,,,,,,,,,,1098,2058,1110,1553,-1,1201,1368,1943,1891,1949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1946,2101,HOSTE Marc, ,V3 H,1948, , , ,3801,5721,10054,13477,,20931,29229,27796,32587,34380,,,,,,,,,,,,,884,1711,921,1417,-1,1734,1665,1272,1292,1739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1947,1136,BENOIST Philippe, ,V1 H,1949, , , ,3333,5242,8478,10946,,17171,,25452,31413,34385,,,,,,,,,,,,,647,847,1348,1418,-1,1997,-1,1217,1695,1950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1948,2210,ALCAIDE Mickael, ,SE H,1950, , , ,3055,5009,9004,13167,,20716,,26546,32628,34449,,,,,,,,,,,,,1155,1710,1899,1923,-1,1722,-1,1314,1887,1951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1949,2195,BELGUERMI Farid, ,V1 H,1951, , , ,3839,5499,9417,13265,,21111,29691,28869,33653,34666,,,,,,,,,,,,,1995,1134,1852,1253,-1,1993,1704,1232,1888,1952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1950,2313,HELLBOURG Astrid, ,V1 F,1952, , , ,4292,6756,10403,14005,,20333,26787,26954,32524,34670,,,,,,,,,,,,,1610,2228,1517,1269,-1,1873,1671,1942,1899,1747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1951,2802,GAUTHIER Patricia, ,V1 F,1953, , , ,3642,5186,8500,12259,,19307,28100,26892,32311,34708,,,,,,,,,,,,,1882,755,1857,1425,-1,1561,1095,1013,1886,1953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1952,2035,TURNER Andrew, ,SE H,1954, , , ,4456,6663,,14049,,20255,,26973,32124,34784,,,,,,,,,,,,,1217,1880,-1,1939,-1,1920,-1,1608,1895,1954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1953,669,RUNDSTADLER Laurent, ,SE H,1955, , , ,2897,4395,7539,10718,,20852,28081,26674,32871,34797,,,,,,,,,,,,,2136,2222,1946,1266,-1,2042,1705,1738,1897,1322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1954,2543,THIRIET Patrick, ,V2 H,1956, , , ,3728,6049,9876,12764,,20142,28019,27090,32265,34818,,,,,,,,,,,,,1619,2139,1858,1706,-1,1289,1655,1944,1926,1955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1955,1934,DU BOULLAY Jerome, ,V1 H,1957, , , ,4043,5753,9293,13040,,19472,29172,26984,33372,34835,,,,,,,,,,,,,2261,1533,637,2103,-1,1301,1653,1363,1927,1956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1956,3039,SEBASTIAN Ana, ,SE F,1958, , , ,4502,6488,10133,13330,,21591,29366,27295,32969,34973,,,,,,,,,,,,,2137,1154,1928,2104,-1,1959,219,1557,1909,1957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1957,2674,GUICHARD Arnaud, ,SE H,1959, , , ,3084,5410,9684,13393,,21053,29490,27863,32967,34985,,,,,,,,,,,,,1190,1074,1187,2030,-1,1363,1486,1555,1939,1360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1958,2524,JOYE Pierre, ,V1 H,1960, , , ,4540,7690,,14414,,23096,29455,27732,32824,35071,,,,,,,,,,,,,1931,811,-1,1619,-1,1298,1234,1947,1889,1958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1959,2442,MARIE Didier, ,V1 H,1961, , , ,4020,6268,9412,12236,,18639,29189,27259,32920,35317,,,,,,,,,,,,,809,2123,1920,1937,-1,1964,1448,1911,1907,1959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1960,2503,BLOT Stéphane, ,V1 H,1962, , , ,3648,5395,9047,12058,,20899,29354,27659,32792,35323,,,,,,,,,,,,,1350,2066,2114,1989,-1,1907,1449,1370,1914,1960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1961,2475,HORSLEY David, ,V1 H,1963, , , ,3771,5394,8944,12343,,19816,,26542,32111,35430,,,,,,,,,,,,,584,1990,804,2130,-1,1302,-1,1983,1915,1961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1962,3211,ESPANNET Jean-Francois, ,V1 H,1964, , , ,3544,5428,8113,11620,,17929,25483,22972,32280,35545,,,,,,,,,,,,,812,1991,945,1224,-1,2113,1690,1984,1698,1962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1963,2204,PARRA TORRES Juan Jose, ,V1 H,1965, , , ,3548,5668,10011,12665,,18810,26189,25739,32193,35837,,,,,,,,,,,,,813,1609,1868,1264,-1,1365,1670,1455,1902,1963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1964,1899,HEBERT Stephane, ,SE H,1966, , , ,3669,5523,9063,11602,,18635,27914,26743,33085,36026,,,,,,,,,,,,,1382,1894,2090,1931,-1,1602,1659,1699,1908,1964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1965,2441,FELISAZ JEAN-MICHEL, ,V1 H,1967, , , ,4218,5880,9332,13454,,20339,29168,27330,32827,36031,,,,,,,,,,,,,2262,883,1947,2040,-1,1219,1669,1341,1890,1965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1966,3101,SANTIAGO DELGADO Juan Carlos, ,V1 H,1968, , , ,3903,5722,9488,12523,,19897,26740,26530,32840,36119,,,,,,,,,,,,,1531,1938,1271,916,-1,1372,1374,1621,1883,1966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1967,3579,MCINTOSH Richard, ,SE H,1969, , , ,3749,5924,10121,13915,,21610,29634,28871,34649,36142,,,,,,,,,,,,,1090,838,2075,1917,-1,1422,1746,1700,1906,1967,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1968,2963,SCHAEGIS Jasmine, ,SE F,1970, , , ,3304,5298,8842,11501,,17880,27899,25417,32232,36171,,,,,,,,,,,,,2059,1350,1400,1912,-1,1921,1745,1457,1905,1968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1969,2136,MASON Michael, ,V2 H,1971, , , ,3793,6203,10501,14132,,22773,29657,28921,33784,36179,,,,,,,,,,,,,1925,1921,1323,1362,-1,1934,1651,1946,1423,1969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1970,2690,GRAZIANO Galli, ,V1 H,1972, , , ,4534,6976,10681,13735,,20904,29220,27664,34350,36231,,,,,,,,,,,,,1007,1516,1877,1369,-1,2114,1232,1933,1913,1970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1971,3712,PLANCHE Dominique, ,V1 H,1973, , , ,4520,7900,,14236,,21430,29258,28364,33606,36243,,,,,,,,,,,,,1349,1033,-1,1613,-1,1276,1703,1926,1701,1971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1972,2591,CRUVEILHER Martial, ,SE H,1974, , , ,3430,4793,8852,11822,,20629,,28161,34585,36701,,,,,,,,,,,,,1353,1942,2065,1530,-1,1903,-1,1925,1940,1972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1973,3733,DUWE Klaus, ,V2 H,1975, , , ,4443,7284,,14100,,22137,29333,27639,34860,36954,,,,,,,,,,,,,696,1873,-1,1985,-1,1269,1107,1930,1941,1973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1974,3094,ROGEZ Jacques, ,V2 H,1976, , , ,3135,5416,9463,13171,,21139,29417,27816,33523,37279,,,,,,,,,,,,,1965,1699,2074,1718,-1,1557,1702,1937,1942,1975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1975,1827,LESIRE Patricia, ,SE F,1977, , , ,3764,5483,9028,12139,,18727,28076,27154,34060,37282,,,,,,,,,,,,,1346,1112,1718,2114,-1,2043,1656,1967,1904,1974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1976,2614,MEUWIS Joël, ,V1 H,1977, , , ,3791,6237,10138,13487,,20928,29484,27799,34428,37282,,,,,,,,,,,,,2028,1004,1941,968,-1,1616,1681,1935,1923,1666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1977,2050,MESSERI Giovanni, ,V1 H,1979, , , ,3639,5552,8977,11649,,18587,27642,24758,32699,37716,,,,,,,,,,,,,1170,845,1322,1229,-1,1952,1672,1916,1930,1976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1978,1859,RAZZOLINI ilaria, ,SE F,1980, , , ,3636,5550,8977,11606,,18585,27639,24757,32699,37717,,,,,,,,,,,,,1171,676,914,1279,-1,1607,1481,1917,1931,1977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1979,3584,NGUYEN Mylinh, ,V1 F,1981, , , ,4618,7096,,14784,,23683,29576,28969,34881,37719,,,,,,,,,,,,,1431,1359,-1,1994,-1,1910,1321,1990,1920,1978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1980,3604,PHAM Chau, ,V2 H,1982, , , ,4996,7083,,14758,,23661,29640,28806,34876,37732,,,,,,,,,,,,,1738,1358,-1,1313,-1,2037,1743,1951,1898,1979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1981,3001,TARNAUD LAUDE Nathalie, ,SE F,1983, , , ,4065,6150,9408,11904,,18900,26736,26609,33544,38547,,,,,,,,,,,,,1624,1690,1179,1950,-1,1396,1676,1423,1918,1980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1982,3412,RABOT Laurence, ,SE F,1984, , , ,3439,5524,9423,11843,,18895,26730,26580,33562,38556,,,,,,,,,,,,,1235,1623,1335,2124,-1,1198,1152,1948,1943,1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,3356,FONTAINE Marc, ,V2 H,1985, , , ,3669,6354,10420,13552,,20748,29274,27721,34760,38821,,,,,,,,,,,,,1234,1352,1334,1916,-1,1706,1742,2029,1329,1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,2327,CLEMENCEAU Fabien, ,V1 H,1986, , , ,4157,6393,,14411,,21528,,28696,35130,39480,,,,,,,,,,,,,1236,1097,-1,1715,-1,1707,-1,1957,1924,1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,2235,GOUTAUDIER Frederic, ,SE H,1987, , , ,4158,6394,,14434,,21525,,28698,35128,39481,,,,,,,,,,,,,1313,1897,-1,1201,-1,2036,-1,1320,1944,1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,2187,VALENTI GONZALEZ Pedro, ,V2 H,1988, , , ,4500,6748,,14250,,21839,29652,28833,,40269,,,,,,,,,,,,,1300,1605,-1,1200,-1,1936,1158,1733,-1,1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,2976,FERRER Frederic, ,SE H,1989, , , ,3423,5189,9099,,,,,,27960,,,,,,,,,,,,,,1128,1604,1935,-1,-1,-1,-1,-1,1945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,2506,HAIN Christoph, ,SE H,1990, , , ,3493,5189,7870,10507,,17029,25125,22699,28625,,,,,,,,,,,,,,1939,1963,883,1312,-1,2035,1133,1931,1919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,1021,GEFFARD Thierry, ,V1 H,1991, , , ,3763,5696,9257,12277,,18652,27258,24482,29628,,,,,,,,,,,,,,1393,1299,1058,1311,-1,1937,1200,2030,1925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,3717,JACQUEMENT Jeannot, ,V3 H,1992, , , ,4092,6617,,14303,,21365,29159,26802,30258,,,,,,,,,,,,,,839,1879,-1,1395,-1,1623,1201,2031,1921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,3147,PEIRANO Corinne, ,V1 F,1993, , , ,4682,6609,10017,13009,,21047,29150,26716,32802,,,,,,,,,,,,,,1351,1189,961,1388,-1,1915,1686,1991,1946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,2565,KOCH Johann, ,V1 H,1994, , , ,3774,5822,10226,13410,,20725,28016,26991,33112,,,,,,,,,,,,,,1922,2029,390,506,-1,2115,1706,1411,1916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,2505,BLODER Johann, ,V1 H,1995, , , ,3776,5825,10227,13412,,20723,28025,27003,33194,,,,,,,,,,,,,,1997,1924,1603,1681,-1,1200,1666,1311,1932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,1917,NICKL Werner Bill, ,V2 H,1996, , , ,4238,6866,10261,13143,,20776,29224,27574,33230,,,,,,,,,,,,,,1008,868,907,1689,-1,1015,1657,1273,1922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,2307,REVEILLARD Jacques, ,V3 H,1997, , , ,4397,6001,9872,12918,,20952,29564,28157,33893,,,,,,,,,,,,,,2236,867,1424,1557,-1,1950,1744,1325,1929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,2992,MARTINEZ Thierry, ,V1 H,1998, , , ,3863,5685,8967,11948,,19700,29524,28547,34188,,,,,,,,,,,,,,1034,1010,1076,1907,-1,1457,1759,1927,1928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1997,3071,DUPONT Marc, ,V2 H,1999, , , ,3009,4447,7788,10663,,17017,27878,27792,34254,,,,,,,,,,,,,,1183,2031,1035,1324,-1,1154,1687,1985,1947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1998,2025,FABRE Frederic, ,SE H,2000, , , ,3928,5680,9940,13296,,20803,29434,28003,34610,,,,,,,,,,,,,,2049,677,956,1280,-1,1265,1193,1735,1934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1999,2653,KURTH Alain, ,V1 H,2001, , , ,2817,4390,7552,10362,,18573,15965,27253,35066,,,,,,,,,,,,,,1936,1935,1118,1363,-1,1938,1698,1303,1933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000,2697,PAPAZIAN Antranik, ,V2 H,2002, , , ,4004,5642,9169,13034,,19676,16794,27537,35416,,,,,,,,,,,,,,1518,1965,1528,1930,-1,850,1113,1965,1948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2001,2763,PAPAZIAN Françoise, ,V2 F,2003, , , ,5001,7560,,14255,,21299,29344,27825,35418,,,,,,,,,,,,,,1691,2258,-1,1281,-1,1303,1760,1418,1949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2002,3507,TALLERI Serge, ,V3 H,2004, , , ,3598,6173,10346,13148,,22179,29604,28686,35685,,,,,,,,,,,,,,872,2259,2024,2131,-1,1194,1650,1419,1950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2521,EHRET Stephanie, ,V1 F,2005, , , ,1689,2282,3471,4351,,6626,8222,9170,,,,,,,,,,,,,,,1280,1174,2086,2038,-1,1680,1649,2032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,3700,HELLBERG Erik, ,SE H,2006, , , ,1094,1605,2767,3997,,6413,9212,9544,,,,,,,,,,,,,,,864,2108,1682,1988,-1,1930,1749,1915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,2827,MARCOS SILVESTRE Luis, ,V1 H,2007, , , ,1644,2321,3560,4318,,7395,11373,11777,,,,,,,,,,,,,,,1723,753,2085,1358,-1,1740,1688,1932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,243,DE AZEVEDO Armando, ,SE H,2008, , , ,2114,2842,4650,5881,,8603,13690,13327,,,,,,,,,,,,,,,2223,1277,1185,1996,-1,1746,1118,1952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,3349,MANSUY Joel, ,V2 H,2009, , , ,2140,2925,4878,6579,,9929,14218,13970,,,,,,,,,,,,,,,1264,1037,1311,1737,-1,1948,1713,1962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,3573,BLANC Hérald, ,V1 H,2010, , , ,1224,1871,3352,4599,,8126,14057,14465,,,,,,,,,,,,,,,1067,505,1407,2133,-1,1963,1212,1409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,3123,LEFIEF Jean-Philippe, ,V1 H,2011, , , ,1639,2060,3761,5218,,9715,15646,15800,,,,,,,,,,,,,,,2263,2260,710,1943,-1,1941,1677,1975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2010,3124,CHESSERON Jean-Marie, ,V1 H,2012, , , ,2485,3491,5811,7592,,11487,16136,16265,,,,,,,,,,,,,,,1427,2221,1985,1969,-1,2116,1004,1737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,635,GIANINI Dominique, ,V1 H,2013, , , ,1933,2738,5019,7237,,10975,16493,16586,,,,,,,,,,,,,,,1932,1739,2164,1688,-1,1943,1673,1950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,293,OMES Mike, ,SE H,2014, , , ,2235,3349,5159,6929,,10933,16460,16987,,,,,,,,,,,,,,,1712,1315,1892,2122,-1,1458,1658,2033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,203,GABORIEAU Gerald, ,V1 H,2015, , , ,2000,3075,4916,7207,,11702,16616,17773,,,,,,,,,,,,,,,848,1616,2165,1927,-1,1906,1233,2034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,458,GERMAIN Eric, ,V1 H,2016, , , ,2671,4054,7005,10130,,14965,,19962,,,,,,,,,,,,,,,1620,1314,1927,1176,-1,1926,-1,1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,536,EVEN Jean Yves, ,V1 H,2017, , , ,2866,4130,6883,9242,,14435,20867,20090,,,,,,,,,,,,,,,2171,1912,1197,1370,-1,1703,1322,1938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,149,CHOSSAT Cyril, ,V1 H,2018, , , ,1820,2399,5153,9343,,16016,,20501,,,,,,,,,,,,,,,2222,1615,2004,2154,-1,1167,-1,1968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2017,1872,HARRATI Eric, ,V1 H,2019, , , ,2081,3107,5399,7105,,14110,19035,20515,,,,,,,,,,,,,,,1134,1940,1353,1932,-1,1392,1191,1966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2018,1856,LAURENT Michel, ,V1 H,2020, , , ,2892,4431,7325,9888,,14934,,20523,,,,,,,,,,,,,,,2140,2048,1358,2109,-1,2053,-1,1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2019,3045,PUIG MORRAL Esteve, ,V1 H,2021, , , ,3145,4704,7902,9863,,14777,,20600,,,,,,,,,,,,,,,1038,391,2014,2108,-1,1704,-1,1192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020,2180,VISIGALLI Paolo, ,SE H,2022, , , ,2690,3652,5703,8147,,14160,,21364,,,,,,,,,,,,,,,1400,2230,1691,2115,-1,2049,-1,1742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2021,1971,FERRU Nicolas, ,SE H,2023, , , ,3852,5267,8231,10554,,15267,,21582,,,,,,,,,,,,,,,1999,1414,1232,1678,-1,1742,-1,1919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022,3284,GROSLAMBERT Jean-Louis, ,V3 H,2024, , , ,3718,5416,8914,12463,,18178,25637,23126,,,,,,,,,,,,,,,1060,1188,2076,1410,-1,1743,1490,1433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,3238,BARNOLE Sylvain, ,SE H,2025, , , ,3405,5167,7811,10462,,15022,,23725,,,,,,,,,,,,,,,754,1173,1230,1286,-1,1610,-1,1698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2024,3390,VANPOPERYNGHE Yann, ,SE H,2026, , , ,2501,3633,6734,9567,,15215,25431,23845,,,,,,,,,,,,,,,2037,1256,1605,1260,-1,1919,1325,917,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2025,3301,LANOIR Serge, ,V1 H,2027, , , ,4505,6350,9638,12076,,17885,25919,23917,,,,,,,,,,,,,,,2038,1993,1720,2127,-1,1719,1689,1949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2026,952,MASCLET Gerard, ,V2 H,2028, , , ,3220,5266,8877,11401,,17820,,24077,,,,,,,,,,,,,,,2264,1426,1231,1944,-1,1924,-1,1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2027,682,VEYRAT Pierre, ,SE H,2029, , , ,2652,3776,6121,7948,,12449,27105,24127,,,,,,,,,,,,,,,1938,922,1328,2113,-1,2051,1485,1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2028,1105,JACQUEMAIN Joel, ,V2 H,2030, , , ,2583,4486,7762,11096,,16987,27076,24565,,,,,,,,,,,,,,,1099,1902,1879,1151,-1,2052,1652,2035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2029,1991,CISINSKI Cyril, ,V1 H,2031, , , ,3906,5369,8821,11875,,17261,25640,24819,,,,,,,,,,,,,,,2265,812,536,2055,-1,1158,1710,1964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2030,1118,DUCROT Thierry, ,V1 H,2032, , , ,2276,3812,6294,9633,,16526,25656,24954,,,,,,,,,,,,,,,1838,1235,2166,1940,-1,1694,1501,1740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2031,2665,GODART David, ,SE H,2033, , , ,3553,5882,8971,11656,,17952,26990,25252,,,,,,,,,,,,,,,1746,1234,1410,1938,-1,2039,1097,1753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2032,3034,SARACINO Marie-France, ,V1 F,2034, , , ,3436,5314,8952,11972,,18633,26181,26095,,,,,,,,,,,,,,,1958,1888,2077,2155,-1,2040,1070,1456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2033,3339,CRESPO Eric, ,SE H,2035, , , ,4160,5902,9086,12073,,18063,27835,26343,,,,,,,,,,,,,,,1081,1233,844,1295,-1,2041,1675,1743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034,2316,BOURNEL Pascal, ,V1 H,2036, , , ,3245,4708,7848,11576,,18194,27805,26398,,,,,,,,,,,,,,,815,1133,2063,1992,-1,1314,1661,1963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2035,821,DELASPRE Jean Etienne, ,V1 H,2037, , , ,3209,4516,7494,10244,,16536,26116,26647,,,,,,,,,,,,,,,1715,1952,676,1612,-1,1315,1691,1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2036,3216,MARKO Banjac, ,SE H,2038, , , ,4340,6522,10084,12869,,18812,26754,26651,,,,,,,,,,,,,,,2260,1722,675,1731,-1,1912,1674,1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2037,2925,PREMAND Valérie, ,V1 F,2039, , , ,4097,5642,8987,11856,,17291,26079,26661,,,,,,,,,,,,,,,2259,692,1171,1389,-1,1970,1747,2036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2038,3534,WEHNER Lörinc, ,ES H,2040, , , ,4008,6318,10507,13741,,20216,29201,27310,,,,,,,,,,,,,,,1317,1530,2167,1703,-1,1939,1488,1976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2039,3542,WEHNER Vince, ,ES H,2041, , , ,4009,6318,10508,13730,,20208,29185,27500,,,,,,,,,,,,,,,1954,1283,1339,1702,-1,1932,1447,1977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2040,2467,BORGO Bruno, ,V1 H,2042, , , ,3169,4914,8330,11816,,20166,29238,27534,,,,,,,,,,,,,,,1887,2120,2009,2156,-1,2117,1648,2037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2041,3024,BOUIN Alexandre, ,SE H,2043, , , ,3492,5325,8597,11759,,18825,,27652,,,,,,,,,,,,,,,547,1098,1916,1951,-1,1946,-1,1972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
