pos,bib,name,team,category,rank,nationality,time,timediff,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Bovine,Trient,Catogne,Vallo,TaVents,Flégère,Arrivé,delev_pos,stger_pos,conta_pos,balme_pos,bonhom_pos,chapieu_pos,seigne_pos,combal_pos,mtfavre_pos,checrou_pos,courm_pos,bertone_pos,bonatti_pos,arnuva_pos,gdcolf_pos,fouly_pos,champex_pos,bovine_pos,trient_pos,catogne_pos,vallo_pos,tavents_pos,flégère_pos,arrivé_pos
2137,2967,CHAN Kwok, ,V2 H,2138, , , ,5020,7506,10791,14212,17463,20299,,28102,31011,33411,35977,,,,,,,,,,,,,,1190,1985,1536,1547,1405,1989,-1,2128,1899,2142,2133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2138,3703,COLLIN Yannick, ,V2 H,2139, , , ,3121,4727,9326,12959,16075,18700,,27471,31695,33638,34813,,,,,,,,,,,,,,2274,1945,1371,1409,1654,1750,-1,1952,2153,2141,2136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2139,4219,WATANABE Katsumi, ,V3 H,2140, , , ,4682,6760,10712,14769,19069,21449,,29764,32752,34506,36254,,,,,,,,,,,,,,1969,769,1622,1407,2231,1586,-1,1651,1988,2118,2137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2140,2527,YEE James, ,V3 H,2141, , , ,4979,7594,11343,15044,19062,22323,,29490,33055,35171,36287,,,,,,,,,,,,,,1483,1903,1629,2124,1995,1623,-1,1434,2145,1964,2138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2141,4157,CALDI Jérôme, ,V1 H,2142, , , ,3682,5529,10158,13353,17137,19673,,28439,32078,35097,36293,,,,,,,,,,,,,,1482,2264,1635,1517,1897,1455,-1,2003,2120,2127,2140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2142,4186,MARILLAT Christian, ,V1 H,2143, , , ,3856,5778,10050,13210,16362,19143,,26351,30487,32995,35041,,,,,,,,,,,,,,1803,2448,1574,1993,1628,2000,-1,1447,2142,2133,2141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2143,4130,MAURICE pascal, ,V2 H,2144, , , ,2905,4508,8684,12096,15172,17346,,26590,30322,33793,36412,,,,,,,,,,,,,,2428,1530,1445,1592,1228,1897,-1,1448,1985,2018,2142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2144,3338,BELLO Eric, ,V1 H,2145, , , ,2848,4421,9058,13485,17030,19690,,28889,32000,34015,36430,,,,,,,,,,,,,,1496,1190,1539,1608,1707,1262,-1,850,1520,2122,2144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2145,3554,GUTIERREZ Jose Luis, ,V2 H,2146, , , ,3257,4854,10119,13563,16686,19246,,28411,31388,33922,36766,,,,,,,,,,,,,,1643,1603,2277,1573,847,1472,-1,1880,2022,1998,2145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2146,3263,SANTANA JIMENEZ Ismael, ,V1 H,2147, , , ,4039,6218,10547,14163,18185,20557,,28837,32467,34371,37183,,,,,,,,,,,,,,1644,2006,1205,1813,1526,1967,-1,1628,2133,2147,2146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2147,3284,FONSECA Carlos Manuel, ,V2 H,2148, , , ,3214,5068,9684,12811,17356,20875,,29290,32821,34888,37207,,,,,,,,,,,,,,1502,1819,2092,1890,2225,1968,-1,1519,2136,2129,2147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2148,3759,CROWE James, ,V2 H,2149, , , ,3821,5778,9718,14223,17852,20706,,29808,33526,35357,37263,,,,,,,,,,,,,,1031,1969,2306,1532,1622,1688,-1,1518,2122,2132,2148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2149,4339,BORIC Jean-Marc, ,V1 H,2150, , , ,4395,6531,10376,14038,18203,20468,,29101,32553,34468,37421,,,,,,,,,,,,,,1287,1048,958,1745,1451,1639,-1,2006,2175,2143,2149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2150,2672,MANZANARES MOLLA F. Ramon, ,V2 H,2151, , , ,3495,5609,10587,13866,17972,20529,,28039,31809,34224,37501,,,,,,,,,,,,,,1995,2275,2388,1401,1343,2277,-1,1971,2147,2146,2150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2151,2626,ROUZAUD Thierry, ,V1 H,2152, , , ,2650,3699,6671,9162,11842,13903,,29184,34032,36155,37585,,,,,,,,,,,,,,1648,2221,2121,1581,1966,2233,-1,1602,2157,2136,2151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2152,4296,YASUDA Soichiro, ,SE H,2153, , , ,2999,4441,9089,13411,17428,19129,,28528,31965,34608,35775,,,,,,,,,,,,,,1649,2449,1708,1653,1261,1996,-1,2147,2137,2130,2152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2153,2032,BAUER Philippe, ,V2 H,2154, , , ,3786,5964,10271,13754,17580,20310,,29338,32619,35401,37938,,,,,,,,,,,,,,908,1684,1688,1418,1967,1998,-1,1603,2134,2149,2154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2154,3496,KONGMUNVATTANA Sanya, ,SE H,2155, , , ,3797,5857,10956,13767,17423,20247,,29293,32625,35333,38371,,,,,,,,,,,,,,1265,1483,1643,1609,1896,1811,-1,1554,2150,2144,2155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2155,3707,AOKI Tetsuya, ,V2 H,2156, , , ,3668,5497,10672,14941,19516,22346,,28955,33225,35254,38426,,,,,,,,,,,,,,2120,1187,2340,2139,2175,1527,-1,1702,2154,2157,2156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2156,3274,GARCIA RIVERA Javier, ,V1 H,2157, , , ,3726,5834,10476,14186,17713,20441,,29116,32507,35354,38626,,,,,,,,,,,,,,1081,1482,1807,1984,1655,1427,-1,2134,2155,2138,2157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2157,2060,HANK Rainer, ,V1 H,2158, , , ,3868,6390,10267,14515,17965,20295,,28975,33691,36341,39280,,,,,,,,,,,,,,1636,1270,2003,1704,1892,2278,-1,1983,2002,2137,2158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2158,2113,HARTWELL Jimmy, ,V1 H,2159, , , ,3509,5482,10496,14501,17627,20495,,29306,33397,35967,39380,,,,,,,,,,,,,,1820,2274,999,2305,1398,2177,-1,2218,2172,2168,2160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2159,2727,HARTSHORN James, ,V1 H,2159, , , ,3515,5090,9288,12024,15256,18353,,29455,32824,35947,39324,,,,,,,,,,,,,,1048,1371,1026,2307,2278,1229,-1,1643,2162,2152,2159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2160,3625,GROSS Yves, ,V1 H,2161, , , ,3765,5849,10884,13998,18484,21194,,28879,32697,34914,39383,,,,,,,,,,,,,,1110,1216,2312,1452,2230,1992,-1,1963,2161,2151,2162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2161,4053,JINDRA Marek, ,SE H,2161, , , ,4346,6526,10768,14741,19294,22080,,29583,32688,36364,39382,,,,,,,,,,,,,,1330,1215,751,1580,1399,2289,-1,1978,2140,2153,2161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2162,4026,GEIGER Christoph, ,V4 H,2163, , , ,2922,5791,10055,12625,15662,18218,,27839,31019,33801,39678,,,,,,,,,,,,,,1239,2391,1204,2150,2290,1593,-1,1812,2148,2145,2163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2163,3871,DAVIS Martin, ,V2 H,2164, , , ,3346,5202,9332,12517,16044,20158,,27697,30585,33558,39701,,,,,,,,,,,,,,1562,1823,1174,2284,1370,1672,-1,1814,2160,2150,2164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2164,3870,MCCAUGHAN Declan, ,SE H,2165, , , ,3345,5202,9333,12522,16040,20158,,27695,30590,33549,39731,,,,,,,,,,,,,,1883,1465,1361,1590,1680,1481,-1,1964,2141,2156,2165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2165,3991,IMAI Tsuneaki, ,V2 H,2166, , , ,4204,6598,10644,13972,19818,22068,,29400,33059,37446,40389,,,,,,,,,,,,,,1099,1420,1750,1657,2226,1974,-1,1972,2166,2155,2166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2166,3987,FANDINO Sergio, ,V2 H,2167, , , ,3969,5708,10309,13539,17641,20297,,29723,34122,37258,40526,,,,,,,,,,,,,,2343,1972,1681,1965,1650,1818,-1,1517,2156,2148,2167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2167,2909,BERNARDO DE OLIVEIRA daniel, ,V1 H,2168, , , ,3383,4980,8978,12611,15866,18309,,29172,34603,37473,41009,,,,,,,,,,,,,,1507,2265,1286,1964,1035,1520,-1,1977,2174,2169,2168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2168,2245,MORALES RAMIREZ Gerard, ,SE H,2169, , , ,125,128,451,742,1172,1336,,2929,8071,9188,,,,,,,,,,,,,,,937,992,2287,1593,1808,1503,-1,1661,2159,2154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2169,3597,BARAGATTI Stefano, ,SE H,2170, , , ,1444,1998,3409,4566,5681,6341,,10188,12849,15722,,,,,,,,,,,,,,,992,2223,889,2142,1366,1583,-1,2142,2149,2158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2170,3655,WEAVER Angela, ,V1 F,2171, , , ,4173,6867,10906,14704,,21751,,28730,31410,33628,,,,,,,,,,,,,,,993,993,1537,2234,-1,2142,-1,2138,2158,2170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2171,4097,ROMIGUIERE Francis, ,V2 H,2172, , , ,3513,5498,9490,12970,16173,19243,,27052,32645,35180,,,,,,,,,,,,,,,1489,2222,2176,2288,1395,2280,-1,1655,2176,2163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2172,3642,OZAWA Eiichi, ,V2 H,2173, , , ,4437,6794,10692,14232,19154,21612,,29869,34037,36276,,,,,,,,,,,,,,,1723,657,1335,2229,2235,1816,-1,1984,2152,2162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2173,4238,GNAUERT René, ,V1 H,2174, , , ,4048,6438,10512,14441,17696,20881,,29029,33237,36648,,,,,,,,,,,,,,,1274,1652,1636,2127,1570,2145,-1,1995,2173,2164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2174,3420,LIM Thong, ,V1 F,2175, , , ,4383,7538,11115,14307,18125,21953,,28920,32435,,,,,,,,,,,,,,,,1901,1489,1460,2174,1588,1708,-1,2149,2167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2175,3888,ITO Akira, ,V3 H,2176, , , ,3676,6132,9916,14545,19269,21058,,28726,33993,,,,,,,,,,,,,,,,1682,1998,2099,1227,1629,1036,-1,2122,2168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2176,4202,COINE Sophie, ,V1 F,2177, , , ,3512,5088,10194,13530,16961,19469,,29179,34611,,,,,,,,,,,,,,,,1611,725,1996,2164,2287,1684,-1,2219,2177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2177,2732,GREGORETTI Stefano, ,SE H,2178, , , ,1139,1728,2882,4146,5285,6075,,10037,,,,,,,,,,,,,,,,,1565,2158,2318,1211,2283,2010,-1,2220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2178,4783,BIANCO Pedro, ,SE H,2179, , , ,726,1261,2248,3351,4535,5002,,8124,,,,,,,,,,,,,,,,,1707,726,1503,1212,1582,1292,-1,1805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2179,4091,UGOLINI Davide, ,SE H,2180, , , ,1140,1734,2881,4150,5847,6855,,10477,,,,,,,,,,,,,,,,,1405,1589,1815,2143,2144,2231,-1,1552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2180,4,SA Carlos, ,V1 H,2181, , , ,100,119,145,211,246,510,,3145,,,,,,,,,,,,,,,,,968,1330,2263,1296,971,2228,-1,1819,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2181,4014,DELILLE David, ,SE H,2182, , , ,1912,2708,4655,6277,7757,8835,,13534,,,,,,,,,,,,,,,,,1705,1178,2232,1587,1589,1629,-1,1553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2182,3017,SCHENA Andrea, ,V1 H,2183, , , ,2007,2735,5198,7331,8906,9649,,15026,,,,,,,,,,,,,,,,,1060,2279,1593,2280,1465,2281,-1,2221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2183,3680,VAN CAMP Bjorn, ,V1 H,2184, , , ,1924,2834,4729,6359,7692,8827,,15222,,,,,,,,,,,,,,,,,1382,1562,1122,1886,1592,1596,-1,1450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2184,2218,CAVALLO Giuliano, ,SE H,2185, , , ,303,425,374,622,1010,1502,,3975,,,,,,,,,,,,,,,,,2391,1815,2215,1627,1997,1956,-1,2172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2185,2648,STANKEVIC Grazina, ,SE F,2186, , , ,2872,3978,6802,9261,11088,12198,,18880,,,,,,,,,,,,,,,,,2126,877,1531,2286,1476,1477,-1,2167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2186,95,RUBBO Igor, ,V1 H,2187, , , ,1276,1987,3415,4673,5888,7287,,11708,,,,,,,,,,,,,,,,,1591,1109,1818,1652,1817,2133,-1,2129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2187,3540,MATHIEU Jean Claude, ,V2 H,2187, , , ,935,1334,2737,4711,5576,6028,,8813,,,,,,,,,,,,,,,,,1589,1099,1587,1260,2141,1590,-1,2222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2188,4794,MENDES DA SILVA Nuno Manuel, ,SE H,2189, , , ,370,519,904,1529,2412,2831,,9069,,,,,,,,,,,,,,,,,1219,2155,2389,1602,1630,1589,-1,2223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2189,1820,FLORET Thibaut, ,SE H,2190, , , ,1089,1607,2824,4215,5514,6088,,16403,,,,,,,,,,,,,,,,,2122,2383,1821,2215,1362,1621,-1,2143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2190,2681,KOELLER Jean-Georges, ,V2 H,2191, , , ,2549,3591,5689,7295,8983,10028,,15846,,,,,,,,,,,,,,,,,1004,2171,1595,1534,1502,1466,-1,2224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2191,2571,DEBRAY Quentin, ,ES H,2192, , , ,1964,3008,5121,6496,7765,8744,,16232,,,,,,,,,,,,,,,,,916,1871,2308,2282,1683,1367,-1,1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2192,3310,MEYER Jean Marc, ,V2 H,2193, , , ,2955,4273,8003,10462,12789,14179,,21292,,,,,,,,,,,,,,,,,1567,806,2087,1881,2281,1396,-1,1980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2193,4348,BLIESCHKE Stuart, ,SE H,2194, , , ,2234,3229,6477,8403,10175,11050,,15621,,,,,,,,,,,,,,,,,1011,1803,2310,1997,2009,1809,-1,2018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2194,3930,SOUDAN Sebastien, ,SE H,2195, , , ,3343,4960,9129,11550,14218,15748,,21808,,,,,,,,,,,,,,,,,2411,1707,1612,1678,1642,2227,-1,1965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2195,3363,DELAVY Cédric, ,V1 H,2196, , , ,3238,4913,7934,10803,13525,15558,,21825,,,,,,,,,,,,,,,,,2002,1417,1579,2278,1456,2237,-1,2157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2196,2228,LINT Adam, ,SE H,2197, , , ,1043,1714,2924,3883,4997,6108,,22197,,,,,,,,,,,,,,,,,1580,1298,2278,1682,1986,1344,-1,2141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2197,4754,LE BLAY Gaétan, ,SE H,2198, , , ,2697,4044,7205,9917,11967,14045,,22226,,,,,,,,,,,,,,,,,1578,1591,1581,1656,1512,1632,-1,1895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2198,3575,POUTEAU Hervé, ,V2 H,2199, , , ,2147,3033,6228,8370,10540,11910,,22308,,,,,,,,,,,,,,,,,838,1814,1162,1816,2279,2282,-1,1998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2199,3290,NICOLAS Jose, ,V1 H,2200, , , ,2899,4533,7017,9503,12244,14120,,22457,,,,,,,,,,,,,,,,,573,2141,1950,1603,1955,2283,-1,2171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200,3275,HAMAKAJI Tomio, ,V3 H,2201, , , ,2564,3780,7181,9715,12260,14706,,22629,,,,,,,,,,,,,,,,,802,1995,2390,1510,2285,1626,-1,1969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2201,3100,BROWN Richard, ,V1 H,2202, , , ,2687,3883,6924,9472,11419,12670,,17920,,,,,,,,,,,,,,,,,1642,1488,1405,1358,1625,2165,-1,2225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2202,2976,ROPER Sean, ,SE H,2203, , , ,1596,2320,4020,5671,6895,7866,,14070,,,,,,,,,,,,,,,,,1417,2280,1524,1411,2147,2164,-1,2152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2203,4190,BONNEDAHL Tobias, ,SE H,2204, , , ,2575,3739,6282,8425,10497,12167,,19898,,,,,,,,,,,,,,,,,1270,2419,2391,2151,1651,2284,-1,1997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2204,3021,AZAM Catherine, ,V1 F,2205, , , ,3338,4724,8202,10819,13959,15509,,24068,,,,,,,,,,,,,,,,,1536,1808,2392,2152,1985,2285,-1,2154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2205,3551,RENOUF Alexandre, ,SE H,2206, , , ,2090,3036,5497,7174,9365,10752,,23522,,,,,,,,,,,,,,,,,1420,1395,2393,1620,1658,1977,-1,1534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2206,3558,NOVELLO Roberto, ,SE H,2206, , , ,1953,2633,5066,7429,8911,9760,,15643,,,,,,,,,,,,,,,,,1819,653,1999,1815,1426,1667,-1,2170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2207,3994,CONFALONIERI Francesco, ,V1 H,2208, , , ,2363,3429,6512,8862,11421,13122,,20406,,,,,,,,,,,,,,,,,1603,1265,1998,970,1605,1605,-1,2146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2208,2916,CASTANHO Jean Claude, ,V1 H,2209, , , ,2741,4352,8085,10427,13088,14971,,22221,,,,,,,,,,,,,,,,,1630,2120,1974,1648,1886,1707,-1,2118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2209,3542,MESSIN Benoît, ,V1 H,2209, , , ,2914,4029,6341,8477,10444,11964,,17418,,,,,,,,,,,,,,,,,1367,1185,2143,1894,2154,851,-1,2153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2210,3768,VARNER Paolo, ,V1 H,2211, , , ,3090,4741,8183,10832,13228,15020,,21799,,,,,,,,,,,,,,,,,726,984,2163,1463,1638,2155,-1,2164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2211,4185,JUNG Frédéric, ,SE H,2211, , , ,1325,1902,3070,4090,5084,5785,,10935,,,,,,,,,,,,,,,,,2155,1367,1811,1368,2152,1610,-1,2173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2212,3406,FERRERO Juan Ricardo, ,V1 H,2213, , , ,1861,2798,5478,7918,9838,11713,,20813,,,,,,,,,,,,,,,,,725,1727,1298,1995,1471,2158,-1,2132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2213,2581,MEDICI Cyril, ,V1 H,2214, , , ,3306,5045,9028,11879,14904,17473,,24887,,,,,,,,,,,,,,,,,2449,1382,1571,1403,2129,2167,-1,2148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2214,3985,RODARI Marilena, ,V1 F,2215, , , ,3075,4787,9954,12749,15488,17570,,25116,,,,,,,,,,,,,,,,,1360,1208,1476,2230,2137,2138,-1,1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2215,3153,DORE Mathieu, ,SE H,2216, , , ,1235,1743,6240,8107,9532,10718,,25584,,,,,,,,,,,,,,,,,1572,2228,1475,1424,1631,1606,-1,2226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2216,4460,COLOMBO ROBERTO, ,V2 H,2217, , , ,2992,4409,7660,9977,12549,14530,,26985,,,,,,,,,,,,,,,,,1187,2089,2289,2287,2136,2154,-1,2116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2217,3354,PORTE Jean Claude, ,V2 H,2218, , , ,3699,5645,9626,13630,16384,18595,,27373,,,,,,,,,,,,,,,,,1894,1046,1630,1636,1585,1631,-1,2144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2218,2604,ANDERSEN Bo, ,V2 H,2219, , , ,2323,3856,7114,9299,11632,13825,,21223,,,,,,,,,,,,,,,,,2175,793,1608,1396,2153,1652,-1,2151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2219,3133,DE COCCOLA Antoine, ,SE H,2220, , , ,3213,5178,9276,12338,14269,15833,,25733,,,,,,,,,,,,,,,,,1903,1723,1404,1397,1988,1602,-1,2155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2220,3718,BESOMBE Philippe, ,V1 H,2221, , , ,3250,4848,8895,12147,15131,17021,,25122,,,,,,,,,,,,,,,,,2119,1523,1748,2148,2158,1603,-1,2227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2221,4181,SUGANUMA Mariko, ,V2 F,2222, , , ,3802,5437,9622,12681,15509,17963,,28114,,,,,,,,,,,,,,,,,2275,1323,2020,1669,2166,1422,-1,2150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2222,4166,GARAVAGLIA Luigi, ,V2 H,2223, , , ,3996,5469,9567,12727,16177,18887,,28569,,,,,,,,,,,,,,,,,1208,1730,1112,2235,1976,1647,-1,2228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2223,4325,MARINELLI Claudio, ,V2 H,2224, , , ,3994,5469,9568,12716,16109,18303,,28572,,,,,,,,,,,,,,,,,1122,2008,2295,1996,1604,2120,-1,2162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2224,3473,CALLE CRUZ Angel, ,SE H,2225, , , ,1934,2793,5243,7929,10639,13069,,28628,,,,,,,,,,,,,,,,,1046,2450,1499,1478,1705,2302,-1,2156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2225,3779,BARTHELAY Jean Claude, ,V3 H,2226, , , ,3106,4756,9282,13062,16421,18710,,28795,,,,,,,,,,,,,,,,,2141,1391,1421,1568,2280,1887,-1,2137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2226,4648,UFFLER Sebastien, ,SE H,2227, , , ,3408,5220,9349,12582,16877,19937,,28833,,,,,,,,,,,,,,,,,2334,2001,1395,1628,1879,2157,-1,2158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2227,2528,HARRIS Marissa, ,SE F,2228, , , ,3954,6062,9760,12997,16995,19788,,28844,,,,,,,,,,,,,,,,,2409,1810,2394,2309,2132,1659,-1,2163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2228,3217,VINCENT Gilbert, ,V2 H,2229, , , ,3770,5581,9645,12992,16166,18904,,28943,,,,,,,,,,,,,,,,,1684,2150,2395,1953,1433,2150,-1,2136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2229,3416,FUKUMORI Hideki, ,V1 H,2230, , , ,4531,7517,10664,14646,18753,21080,,29209,,,,,,,,,,,,,,,,,1680,1261,2146,756,1449,1449,-1,2133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2230,3030,ROUSSEAU Claude, ,V2 H,2231, , , ,2405,3786,9275,12985,16643,19784,,29314,,,,,,,,,,,,,,,,,1173,1359,1583,2163,1428,1450,-1,2145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2231,4274,HUJEUX Patricia, ,V2 F,2232, , , ,3462,5808,9935,13494,16981,20489,,29364,,,,,,,,,,,,,,,,,2099,1630,2396,1649,1448,1434,-1,2169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2232,1925,WOLFE Christian, ,SE H,2233, , , ,2874,4565,10478,13845,16810,19375,,30648,,,,,,,,,,,,,,,,,2217,1297,2142,2329,1435,2232,-1,2229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
